,Year,Credit Private,Money Supply,Interest Rate,Exchange Rate
0,2000,21.7793890133235,30.5539892604712,8.99820323770434,52.1416666666667
1,2001,24.179592705355,40.2671476674779,9.25695571842855,55.8066666666667
2,2002,26.2081249737496,42.740177242997,8.38969935744544,57.888
3,2003,26.0386276764885,43.9885771769768,5.88445428042499,58.15004
4,2004,27.9134032883374,45.6229943594212,5.58235561080853,59.5126583333333
5,2005,29.3438304968623,47.4210681471904,5.76426911966502,64.327475
6,2006,31.1657016961389,50.4759985553139,5.46699380857848,68.9332333333333
7,2007,32.0428330535648,50.2819117580457,5.7891114361705,68.874875
8,2008,34.0421917464818,51.1876270713566,4.66174256991608,68.598275
9,2009,36.1910375652522,54.8817155926531,6.14653833234923,69.0390666666667
10,2010,40.9613226292342,58.7459016095395,4.73612356896119,69.6492916666667
11,2011,42.4702411629772,59.8117683130297,5.06419768574575,74.1524
12,2012,43.0006693750914,60.7424608294873,5.3433326587313,81.8626583333333
13,2013,41.7947548053392,61.399914294208,5.98869390231371,78.103235
14,2014,43.7361238704853,63.3375540979273,6.88586627746747,77.6414083333333
15,2015,44.4069718062837,64.5065520747659,5.51264431590569,77.9469083333333
16,2016,37.7986426672318,54.9691444990129,-13.6421356407858,78.4680916666667
17,2017,40.4489561448676,55.8375416123996,4.27653989369391,80.4375416666667
18,2018,40.0247365906979,54.8325562875275,3.63430365848223,83.4662019166666
19,2019,39.0344709350066,54.8702535060565,5.68956371493223,84.4535225
20,2020,39.161059242521,57.7630649896826,4.2891862514626,84.8713916666667
21,2021,39.0820163295701,56.6372785923275,3.07621573507077,85.08376325
22,2022,38.9555684288032,54.117700850947,1.9724805729144,91.7454544396961
23,2023,37.6413802339103,51.2185633263359,0.629461237622801,106.309484297483
